Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código da Unidade;Número da Turma; Turma;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Habilitação/Curso;Período;Sexo Feminino;Sexo Masculino;Total de Alunos; Médio na ETEC;Médio em outra ETEC;Médio fora do CPS;Médio Concluído;Aprovados;Promoção Parcial;Retidos por Frequência;Retidos por Rendimento; Retidos por Frequencia e Rendimento; Retenção Parcial;Desistências;Transferências Expedidas;Transferências Recebidas;Trancamentos
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;300.716.549;3º Módulo;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;7;18;25;18;0;3;4;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;300.716.544;2º Módulo;Técnico;Recursos Naturais;Agropecuária;Florestas;Noite;20;5;25;6;0;1;18;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;300.716.531;1º Módulo;Técnico;Recursos Naturais;Agropecuária;Zootecnia;Noite;19;21;40;28;0;5;7;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;300.716.707;2ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;11;29;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;300.716.697;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;10;22;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;300.716.719;3ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;11;18;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;300.716.661;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;15;12;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;300.716.690;3ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;15;23;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;300.716.676;2ª Série;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;18;18;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;300.716.917;3º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;9;5;14;0;0;5;9;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;300.716.912;2º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;20;5;25;0;0;7;18;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;300.716.915;2º Módulo;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;4;17;21;0;0;6;15;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;300.716.909;1º Módulo;Técnico;Informação e Comunicação;Informática;Informática para Internet;Noite;16;17;33;0;0;19;14;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;300.716.768;1º Módulo;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;26;5;31;0;0;11;20;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;300.717.004;3º Módulo;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;8;2;10;0;0;2;8;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EM Fundação Educacional de Andradina - Andradina);028.5 - Cd_Cps;300.717.023;2ª Série;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;22;17;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EM Fundação Educacional de Andradina - Andradina);028.5 - Cd_Cps;200.717.022;1ª Série;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;17;23;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Castilho;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EMEF Dr Youssef Neif Kassab - Castilho);028.2 - Cd_Cps;300.717.024;1ª Série;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - Mtec-N;Noite;21;19;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Castilho;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EMEIEF Professora Maria Dauria Silva Oliveira - Castilho);028.7 - Cd_Cps;001.126.028;1ª Série;Integrado;Recursos Naturais;Agropecuária;Agronegócio - MTec-PI;Manhã e Tarde;17;8;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.689.500;1ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias;Manhã;22;18;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.689.505;2ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias;Manhã;15;24;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.689.506;3ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias;Manhã;19;16;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.691.215;3º Módulo;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;6;16;22;0;0;4;18;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.691.226;2º Módulo;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;7;29;36;0;0;6;30;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.691.222;1º Módulo;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;6;33;39;2;0;11;26;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.691.239;3º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;26;0;26;0;0;0;26;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.691.234;1º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;28;4;32;0;0;0;32;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.691.248;4º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;18;1;19;0;0;1;18;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.691.253;2º Módulo;Técnico;Ambiente e Saúde;Saúde;Farmácia;Noite;31;4;35;1;0;6;28;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.691.276;3º Módulo;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;1;27;28;2;0;4;22;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.691.267;2º Módulo;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;4;28;32;3;0;8;21;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.691.285;3º Módulo;Técnico;Ambiente e Saúde;Meio Ambiente;Meio Ambiente;Noite;8;6;14;1;0;0;13;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.691.295;3º Módulo;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;25;11;36;2;0;5;29;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.707.509;1ª Série;Integrado;Gestão e Negócios;Gestão;Administração - MTec;Manhã;23;17;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.707.655;2ª Série;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;10;27;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.707.686;3ª Série;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;9;28;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.707.620;1ª Série;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;6;34;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.707.544;2ª Série;Integrado;Controle e Processos Industriais;Indústria;Eletrotécnica - MTec;Manhã;10;30;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;300.707.577;3ª Série;Integrado;Controle e Processos Industriais;Indústria;Mecatrônica - MTec;Manhã;14;24;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira (EE Urubupungá);065.02 - Ext/Etec;300.691.928;3º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;19;6;25;0;0;6;19;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira (EE Urubupungá);065.02 - Ext/Etec;300.691.943;2º Módulo;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;15;6;21;0;0;3;18;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira (EE Urubupungá);065.02 - Ext/Etec;300.691.955;1º Módulo;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;25;12;37;2;0;11;24;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Itapura;Bauru/Araçatuba;Etec de Ilha Solteira (EMEF Benedito Lourival Jerônymo - Itapura);065.4 - Cd_Cps;300.692.137;1º Módulo;Técnico;Gestão e Negócios;Gestão;Contabilidade;Noite;28;8;36;0;0;17;19;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Mirandópolis;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;300.717.006;2º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;3;2;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Mirandópolis;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;300.717.010;3º Módulo;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;4;3;7;0;0;1;6;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Mirandópolis;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;300.717.008;3º Módulo;Técnico;Gestão e Negócios;Gestão;Logística;Noite;4;0;4;0;0;1;3;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Mirandópolis;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EMEF Professor Hélio Faria - Mirandópolis);028.8 - Cd_Cps;003.126.028;1º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;34;6;40;0;0;2;38;0;0;0;0;0;0;0;0;0;0;
Araçatuba;Andradina;Mirandópolis;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EMEF Professor Hélio Faria - Mirandópolis);028.8 - Cd_Cps;002.126.028;1ª Série;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;14;26;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
