Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Curso/Habilitação;Período;Inscritos;Vagas;Demanda
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;55;40;1,37;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;Integrado;Recursos Naturais;Agropecuária;Agropecuária (Alternância) - MTec-PI ;Manhã e Tarde;45;40;1,12;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes;028;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;80;40;2,00;
Araçatuba;Andradina;Andradina;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;72;40;1,80;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias;Manhã;119;40;2,97;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;151;40;3,77;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;118;40;2,95;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Ambiente e Saúde;Saúde;Farmácia;Noite;118;40;2,95;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;84;40;2,10;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-PI ;Manhã e Tarde;137;40;3,42;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira;065;Integrado;Controle e Processos Industriais;Indústria;Mecatrônica - MTec;Manhã;155;40;3,87;
Araçatuba;Andradina;Ilha Solteira;Bauru/Araçatuba;Etec de Ilha Solteira (EE Urubupungá);065.02 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;74;40;1,85;
Araçatuba;Andradina;Mirandópolis;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;47;40;1,17;
Araçatuba;Andradina;Mirandópolis;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;42;40;1,05;
Araçatuba;Andradina;Nova Independência;Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EMEF Gildo Pereira - Nova Independência);028.4 - Cd_Cps;Técnico;Recursos Naturais;Agropecuária;Agronegócio;Noite;43;40;1,07;
Araçatuba;Andradina;Pereira Barreto;Bauru/Araçatuba;Etec de Ilha Solteira (EE Cel. Francisco Schmidt);065.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Administração;Noite;75;40;1,87;
Araçatuba;Andradina;Pereira Barreto;Bauru/Araçatuba;Etec de Ilha Solteira (EE Cel. Francisco Schmidt);065.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;64;40;1,60;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias;Manhã;312;40;7,80;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias;Manhã;181;40;4,52;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Técnico;Produção Industrial;Química;Química (MNP);Noite;75;40;1,87;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba;165;Integrado;Gestão e Negócios;Gestão;Administração - MTec-N;Noite;84;40;2,10;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;Técnico;Gestão e Negócios;Gestão;Recursos Humanos (MNP);Noite;63;40;1,57;
Araçatuba;Araçatuba;Araçatuba;Bauru/Araçatuba;Etec de Araçatuba / Faculdade de Tecnologia Professor Fernando Amaral de Almeida Prado;165/177 - Etec/Fatec;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec-AMS;Tarde;149;40;3,72;
Araçatuba;Araçatuba;Auriflama;Bauru/Araçatuba;Etec de Araçatuba (EMEF Dona Conceição de Oliveira Moreira - Auriflama);165.2 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Qualidade;Noite;60;40;1,50;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias;Manhã;93;40;2,32;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Técnico;Gestão e Negócios;Gestão;Administração;Noite;66;40;1,65;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Técnico;Produção Cultural e Design;Design;Design Gráfico;Noite;79;40;1,97;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;259;40;6,47;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Integrado;Gestão e Negócios;Gestão;Administração - MTec;Manhã;204;40;5,09;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Integrado;Gestão e Negócios;Gestão;Contabilidade - MTec;Tarde;84;40;2,10;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas - MTec;Tarde;102;40;2,54;
Araçatuba;Araçatuba;Birigui;Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;Integrado;Gestão e Negócios;Comércio;Marketing - MTec;Manhã;147;40;3,67;
Araçatuba;Araçatuba;Guararapes;Bauru/Araçatuba;Etec de Araçatuba (EM Prof. Celso Geraldo Queiroz - Guararapes);165.3 - Cd_Cps;Técnico;Gestão e Negócios;Gestão;Administração (MNP);Noite;51;40;1,27;
Araçatuba;Araçatuba;Penápolis;Bauru/Araçatuba;Etec João Jorge Geraissate;069;Integrado;Recursos Naturais;Agropecuária;Agropecuária - MTec-PI;Manhã e Tarde;86;70;1,22;
